nodo,pagerank,controlabilidad
770606,0.0039200000,0.6117144383
771278,0.0629000000,0.0715684529
771335,0.0118000000,0.0771467569
771677,0.0261000000,0.3489407157
772049,0.0089600000,0.6641742330
772054,0.0039200000,0.6443534508
772471,0.0432000000,0.0477716456
772516,0.0640000000,0.0183965343
772523,0.0039200000,0.3690582161
772626,0.0223000000,0.1935790161
772669,0.0220000000,0.2373746365
772742,0.0039200000,0.7725950982
772787,0.0240000000,0.3788499199
772928,0.0631000000,0.0777995371
773150,0.0082600000,0.2317369889
773287,0.0150000000,0.0090795798
773310,0.0039200000,0.0142424782
773545,0.0145000000,0.1084208652
773796,0.0225000000,0.0743576049
773841,0.0187000000,0.1815915969
774037,0.0431000000,0.5110082488
774058,0.0078700000,0.2779656994
774169,0.0160000000,0.5333808083
774269,0.0132000000,0.3911934010
774280,0.0150000000,0.3298320574
774292,0.0078300000,0.1404664412
774311,0.0429000000,0.5441220106
774374,0.0039200000,0.2098985223
774502,0.0295000000,0.0931695448
774675,0.0583000000,0.3588511068
774941,0.0079500000,0.6089846300
774980,0.0581000000,0.1277668981
775187,0.0507000000,0.3603940419
776013,0.0184000000,0.1669337131
776031,0.0448000000,0.1288944276
776038,0.0179000000,0.1217731885
776052,0.0127000000,0.4825826360
776250,0.0039200000,0.1672897751
776260,0.0422000000,0.1328111091
776440,0.0804531194,0.1347101062
776449,0.0039200000,0.2774316064
776747,0.0432000000,0.0678298024
776984,0.0094600000,0.5722509050
777121,0.0445000000,0.2044982494
777466,0.0039200000,0.1795739125
777560,0.0264000000,0.3257373450
777669,0.0039200000,0.5929024984
777859,0.0247000000,0.3360037980
778057,0.0591000000,0.2979051688
778162,0.0144000000,0.2533380808
778332,0.0150000000,0.4910687793
778376,0.0039200000,0.5891045042
778446,0.1937470902,0.1560738235
778604,0.0293000000,0.1072339920
778769,0.0039200000,0.2763634206
778787,0.0284000000,0.3414634146
