nodo,controlability,kshell
756400,0.6096967539,3
756431,0.1297252389,6
756532,0.1279449291,6
756742,0.1492493027,8
756745,0.2898937749,8
756872,0.1080648033,6
756927,0.1423654383,3
756975,0.5164678654,4
757149,0.0577413803,5
757725,0.5865527268,2
757838,0.5071509109,4
757903,0.2754732657,3
758061,0.2156548573,5
758073,0.0837339030,3
758114,0.1569046347,5
758144,0.1839059996,6
758185,0.5739125274,3
758799,0.5664945701,5
758970,0.0724586078,6
759036,0.1754198564,6
759137,0.1731647973,5
759186,0.1027238740,8
759720,0.7053587324,4
759791,0.1420687200,5
759926,0.0989258798,3
760579,0.1151266987,3
760635,0.6569343066,2
760983,0.3497121833,3
761058,0.9657587087,5
761153,0.2658595929,3
761362,0.1172630704,3
761428,0.0963147588,9
761483,0.4332680553,4
761492,0.9167408462,2
761627,0.4809210136,2
761906,0.0683638953,6
761969,0.2222420034,7
762041,0.1258679010,2
762115,0.1002314403,5
763060,0.3789686072,3
763170,0.1931042668,5
763237,0.2121535814,2
763403,0.0849207762,5
763489,0.2096611477,3
763564,0.5016912943,2
763803,0.2107293336,6
764035,0.5907661266,4
764853,0.2661563112,4
764980,0.4939172749,6
765080,0.4700017803,3
765307,0.4790220165,6
765456,0.3766542045,3
765609,0.1805234111,3
765686,0.3419975076,3
765942,0.2103139280,2
766009,0.2127470180,6
766081,0.1491306154,3
766291,0.3228888493,2
766328,0.1747670761,6
767022,0.9578066584,2
767610,0.2185033529,2
767749,0.5721322177,3
768288,0.1031392796,5
768383,0.1269360869,4
768551,0.1658061836,4
768579,0.2046762803,9
768617,0.2097204914,5
768761,0.5278025043,2
768783,0.8788202481,9
768828,0.4435345083,3
768841,0.5757521809,5
768856,0.3695923091,4
768874,0.8503946353,2
769000,0.7136075010,3
769123,0.0547148537,7
769147,0.3108420865,4
769167,0.4374221114,3
769696,0.0756631654,3
769746,0.1233161237,4
769937,0.1357782921,5
770312,0.7803691176,2
770441,0.1196961605,5
770606,0.6117144383,2
771278,0.0715684529,8
771335,0.0771467569,4
771677,0.3489407157,2
772049,0.6641742330,2
772054,0.6443534508,4
772471,0.0477716456,8
772516,0.0183965343,9
772523,0.3690582161,4
772626,0.1935790161,4
772669,0.2373746365,5
772742,0.7725950982,2
772787,0.3788499199,5
772928,0.0777995371,9
773150,0.2317369889,4
773287,0.0090795798,2
773310,0.0142424782,2
773545,0.1084208652,4
773796,0.0743576049,3
773841,0.1815915969,9
774037,0.5110082488,4
774058,0.2779656994,2
774169,0.5333808083,2
774269,0.3911934010,4
774280,0.3298320574,4
774292,0.1404664412,3
774311,0.5441220106,4
774374,0.2098985223,5
774502,0.0931695448,6
774675,0.3588511068,9
774941,0.6089846300,3
774980,0.1277668981,9
775187,0.3603940419,4
776013,0.1669337131,5
776031,0.1288944276,7
776038,0.1217731885,4
776052,0.4825826360,7
776250,0.1672897751,3
776260,0.1328111091,5
776440,0.1347101062,5
776449,0.2774316064,3
776747,0.0678298024,9
776984,0.5722509050,3
777121,0.2044982494,5
777466,0.1795739125,4
777560,0.3257373450,5
777669,0.5929024984,2
777859,0.3360037980,5
778057,0.2979051688,8
778162,0.2533380808,5
778332,0.4910687793,2
778376,0.5891045042,3
778446,0.1560738235,9
778604,0.1072339920,6
778769,0.2763634206,2
778787,0.3414634146,3
778974,0.1846181236,9
779135,0.5561094297,2
